,turn,assassin,algorithm,data,seed,cb,ci
183,4,1,1,AI_dataset\wup_sim_mat.npz,943988437,0.8,0.001
184,4,0,1,AI_dataset\wup_sim_mat.npz,1754670034,0.8,0.001
185,6,0,1,AI_dataset\wup_sim_mat.npz,459086351,0.8,0.001
186,7,1,1,AI_dataset\wup_sim_mat.npz,1838465015,0.8,0.001
187,5,1,1,AI_dataset\wup_sim_mat.npz,1459443395,0.8,0.001
188,5,0,1,AI_dataset\wup_sim_mat.npz,352791198,0.8,0.001
189,4,0,1,AI_dataset\wup_sim_mat.npz,1035742282,0.8,0.001
190,1,1,1,AI_dataset\wup_sim_mat.npz,1055568612,0.8,0.001
191,6,0,1,AI_dataset\wup_sim_mat.npz,1085044329,0.8,0.001
192,5,0,1,AI_dataset\wup_sim_mat.npz,1579941028,0.8,0.001
193,1,1,1,AI_dataset\wup_sim_mat.npz,903279675,0.8,0.001
194,1,1,1,AI_dataset\wup_sim_mat.npz,1642606361,0.8,0.001
195,3,0,1,AI_dataset\wup_sim_mat.npz,1011848855,0.8,0.001
196,3,0,1,AI_dataset\wup_sim_mat.npz,1262518007,0.8,0.001
197,4,0,1,AI_dataset\wup_sim_mat.npz,967822800,0.8,0.001
198,4,1,1,AI_dataset\wup_sim_mat.npz,1564938191,0.8,0.001
199,4,1,1,AI_dataset\wup_sim_mat.npz,2050123959,0.8,0.001
200,7,0,1,AI_dataset\wup_sim_mat.npz,976493170,0.8,0.002
201,3,1,1,AI_dataset\wup_sim_mat.npz,1898010485,0.8,0.002
202,5,0,1,AI_dataset\wup_sim_mat.npz,903915198,0.8,0.002
203,3,1,1,AI_dataset\wup_sim_mat.npz,154761663,0.8,0.002
204,4,1,1,AI_dataset\wup_sim_mat.npz,2083664959,0.8,0.002
205,3,1,1,AI_dataset\wup_sim_mat.npz,743724488,0.8,0.002
206,5,1,1,AI_dataset\wup_sim_mat.npz,1189909554,0.8,0.002
207,4,1,1,AI_dataset\wup_sim_mat.npz,1553310154,0.8,0.002
208,5,0,1,AI_dataset\wup_sim_mat.npz,650694728,0.8,0.002
209,4,0,1,AI_dataset\wup_sim_mat.npz,1874798004,0.8,0.002
210,5,0,1,AI_dataset\wup_sim_mat.npz,1839367726,0.8,0.002
211,6,1,1,AI_dataset\wup_sim_mat.npz,224504061,0.8,0.002
